"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","petitprince-9",,,,"User:","root"
"Cmdline:","dstat -c --top-cpu -dn --top-mem --output report_smoke_load_5.csv",,,,"Date:","23 Nov 2020 23:35:43 CET"
"total cpu usage",,,,,"most expensive","dsk/total",,"net/total",,"most expensive"
"usr","sys","idl","wai","stl","cpu process","read","writ","recv","send","memory process"
1.588,0.376,97.394,0.642,0,node / 0%,103234.807,1117549.197,0,0,postgres / 153718784%
0.167,0,99.709,0.125,0,node / 0%,0,102400,10374,9430,postgres / 153718784%
0.083,0.083,99.750,0.083,0,node / 0%,0,40960,12081,12260,postgres / 153718784%
0.083,0,99.875,0.042,0,node / 0%,0,40960,11591,11281,postgres / 153718784%
0.125,0.042,99.833,0,0,kworker/u97:0 / 0%,0,0,1369,2263,postgres / 153718784%
0.125,0.083,99.708,0.083,0,node / 0%,0,90112,11663,11481,postgres / 153718784%
0.167,0.042,99.750,0.042,0,node / 0%,0,40960,14525,12494,postgres / 153718784%
0.167,0.042,99.625,0.167,0,node / 0%,0,65536,15865,14865,postgres / 153718784%
0.125,0.042,99.791,0.042,0,postgres / 0%,0,40960,14145,15204,postgres / 153718784%
0.167,0.042,99.667,0.125,0,postgres / 0%,0,40960,11729,11410,postgres / 153718784%
0.125,0.042,99.750,0.083,0,node / 0%,0,32768,11267,10358,postgres / 153718784%
0.125,0.083,99.750,0.042,0,kworker/u97:0 / 0%,0,53248,10906,10973,postgres / 153718784%
0.125,0.083,99.667,0.125,0,node / 0%,0,49152,11609,11426,postgres / 153718784%
0.083,0.083,99.750,0.083,0,node / 0%,0,16384,11601,11413,postgres / 153718784%
0.125,0.083,99.708,0.083,0,postgres / 0%,0,24576,11657,11479,postgres / 153718784%
0.208,0,99.750,0.042,0,node / 0%,0,32768,11745,11576,postgres / 153718784%
0.167,0,99.792,0.042,0,postgres / 0%,0,45056,11597,11415,postgres / 153718784%
0.083,0.083,99.833,0,0,node / 0%,0,49152,4362,6522,postgres / 153718784%
0.125,0,99.750,0.125,0,node / 0%,0,4096,8484,6903,postgres / 153718784%
0.167,0.042,99.708,0.083,0,postgres / 0%,0,40960,11545,11363,postgres / 153718784%
0.167,0.042,99.708,0.083,0,postgres / 0%,0,40960,11525,11347,postgres / 153718784%
1.501,0.417,97.999,0.083,0,postgres / 0%,0,53248,15509,13495,postgres / 153718784%
0.167,0.083,99.708,0.042,0,node / 0%,0,32768,16202,27346,postgres / 153718784%
0.292,0.083,99.499,0.125,0,dockerd / 0%,0,69632,20411,15336,postgres / 153718784%
0.125,0.083,99.708,0.083,0,node / 0%,0,32768,11541,11357,postgres / 153718784%
0.250,0,99.667,0.083,0,node / 0%,0,40960,11601,11421,postgres / 153718784%
0.208,0.083,99.667,0.042,0,node / 0%,0,73728,11609,11426,postgres / 153718784%
0.167,0.042,99.708,0.083,0,node / 0%,0,69632,11601,11421,postgres / 153718784%
0.125,0.083,99.667,0.125,0,node / 0%,0,110592,11605,11492,postgres / 153718784%
0.125,0.042,99.750,0.083,0,postgres / 0%,0,16384,11337,9888,postgres / 153718784%
0.042,0.083,99.875,0,0,node / 0%,0,0,468,2027,postgres / 153718784%
0.083,0.042,99.875,0,0,khugepaged / 0%,0,0,1405,2458,postgres / 153718784%
0.083,0.042,99.875,0,0,kworker/u97:0 / 0%,0,49152,350,486,postgres / 153718784%
0.083,0.042,99.875,0,0,kworker/u97:0 / 0%,0,0,70,346,postgres / 153718784%
0.042,0.083,99.792,0.083,0,postgres / 0%,0,32768,164,440,postgres / 153718784%
0.291,0.042,99.667,0,0,containerd / 0%,0,0,70,338,postgres / 153718784%
0.125,0.042,99.833,0,0,kworker/u97:0 / 0%,0,0,2916,1084,postgres / 153718784%
0.083,0.042,99.875,0,0,kworker/u97:0 / 0%,0,0,4560,9966,postgres / 153718784%
0.125,0,99.875,0,0,kworker/u97:0 / 0%,0,24576,5487,2370,postgres / 153718784%
0.083,0.083,99.833,0,0,kworker/u97:0 / 0%,0,0,1215,2575,postgres / 153718784%
0.083,0.042,99.750,0.125,0,kworker/u97:0 / 0%,0,12288,70,346,postgres / 153718784%
0.083,0,99.917,0,0,kworker/u97:0 / 0%,0,0,140,422,postgres / 153718784%
0.083,0.083,99.833,0,0,kworker/u97:0 / 0%,0,0,70,346,postgres / 153718784%
0.083,0.042,99.875,0,0,kworker/u97:0 / 0%,0,0,134,384,postgres / 153718784%
0.125,0.042,99.833,0,0,kworker/u97:0 / 0%,0,4096,140,892,postgres / 153718784%
0.042,0.083,99.875,0,0,dockerd / 0%,0,0,70,338,postgres / 153718784%
0.083,0.083,99.750,0.083,0,jbd2/sda3-8 / 0%,0,12288,70,346,postgres / 153718784%
0.083,0,99.917,0,0,containerd / 0%,0,0,134,346,postgres / 153718784%
0.083,0.042,99.792,0.083,0,kworker/u97:0 / 0%,0,8192,70,354,postgres / 153718784%
0.125,0,99.875,0,0,kworker/u97:0 / 0%,0,0,70,346,postgres / 153718784%
0.042,0.083,99.875,0,0,kworker/u97:0 / 0%,0,8192,70,346,postgres / 153718784%
0.125,0.042,99.833,0,0,node / 0%,0,0,2986,1422,postgres / 153718784%
0.125,0.042,99.750,0.083,0,node / 0%,0,24576,4560,16134,postgres / 153718784%
0.042,0.042,99.917,0,0,kworker/u96:0 / 0%,0,0,8829,4269,postgres / 153718784%
0.042,0.042,99.917,0,0,rcu_sched / 0%,0,0,70,354,postgres / 153718784%
0.042,0.083,99.875,0,0,kworker/u97:0 / 0%,0,0,70,346,postgres / 153718784%
0.125,0.042,99.833,0,0,kworker/u97:0 / 0%,0,36864,134,392,postgres / 153718784%
0.083,0,99.917,0,0,kworker/u97:0 / 0%,0,0,70,338,postgres / 153718784%
0.083,0.042,99.750,0.125,0,kworker/u97:1 / 0%,0,49152,134,392,postgres / 153718784%
0.083,0.042,99.875,0,0,kworker/u97:0 / 0%,0,0,70,338,postgres / 153718784%
0.125,0.083,99.792,0,0,kworker/u97:0 / 0%,0,0,339,623,postgres / 150806528%
0.042,0.042,99.917,0,0,kworker/0:0 / 0%,0,40960,140,444,postgres / 150806528%
0.083,0.042,99.875,0,0,kworker/u97:0 / 0%,0,0,70,338,postgres / 150806528%
