"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","petitprince-9",,,,"User:","root"
"Cmdline:","dstat -c --top-cpu -dn --top-mem --output report_smoke_load_3.csv",,,,"Date:","23 Nov 2020 23:34:06 CET"
"total cpu usage",,,,,"most expensive","dsk/total",,"net/total",,"most expensive"
"usr","sys","idl","wai","stl","cpu process","read","writ","recv","send","memory process"
1.617,0.382,97.346,0.655,0,node / 0%,105334.673,1139619.522,0,0,postgres / 153718784%
0.042,0,99.958,0,0,kworker/u97:0 / 0%,0,16384,5088,3597,postgres / 153718784%
0.083,0.083,99.833,0,0,kworker/u97:0 / 0%,0,0,246,892,postgres / 153718784%
0.208,0.042,99.667,0.083,0,node / 0%,0,73728,11216,10618,postgres / 153718784%
0.208,0.042,99.625,0.125,0,postgres / 0%,0,122880,10606,9896,postgres / 153718784%
0.125,0.083,99.792,0,0,node / 0%,0,32768,11885,11783,postgres / 153718784%
0.125,0.083,99.792,0,0,postgres / 0%,0,40960,11543,11360,postgres / 153718784%
0.167,0.083,99.750,0,0,node / 0%,0,86016,11892,11349,postgres / 153718784%
0.083,0.042,99.875,0,0,postgres / 0%,0,49152,5325,6603,postgres / 153718784%
0.167,0.042,99.584,0.208,0,node / 0%,0,16384,7445,6748,postgres / 153718784%
0.167,0.042,99.708,0.083,0,postgres / 0%,0,40960,11970,11426,postgres / 153718784%
0.167,0.042,99.792,0,0,node / 0%,0,32768,11611,11429,postgres / 153718784%
0.250,0.042,99.708,0,0,node / 0%,0,53248,11972,11429,postgres / 153718784%
0.208,0.083,99.667,0.042,0,node / 0%,0,40960,12175,12217,postgres / 153718784%
0.125,0.083,99.750,0.042,0,node / 0%,0,40960,18634,15219,postgres / 153718784%
0.125,0.042,99.667,0.167,0,postgres / 0%,0,65536,14725,15209,postgres / 153718784%
0.167,0.083,99.750,0,0,node / 0%,0,40960,11423,10302,postgres / 153718784%
0.125,0.125,99.708,0.042,0,node / 0%,0,16384,10908,10977,postgres / 153718784%
0.208,0.042,99.667,0.083,0,node / 0%,0,53248,11972,11429,postgres / 153718784%
0.125,0.042,99.833,0,0,kworker/u97:0 / 0%,0,40960,11601,11421,postgres / 153718784%
0.125,0.042,99.667,0.167,0,node / 0%,0,73728,11895,11355,postgres / 153718784%
0.167,0.042,99.792,0,0,postgres / 0%,0,40960,5683,6592,postgres / 153718784%
0.125,0,99.875,0,0,containerd / 0%,0,0,7577,6880,postgres / 153718784%
0.125,0.042,99.833,0,0,node / 0%,0,61440,11599,11418,postgres / 153718784%
0.250,0.042,99.708,0,0,node / 0%,0,32768,12023,11410,postgres / 153718784%
0.250,0.042,99.708,0,0,node / 0%,0,40960,11665,11484,postgres / 153718784%
0.167,0.042,99.625,0.167,0,postgres / 0%,0,49152,12128,11484,postgres / 153718784%
0.125,0.042,99.750,0.083,0,postgres / 0%,0,49152,11599,11418,postgres / 153718784%
0.208,0.083,99.708,0,0,node / 0%,0,40960,12468,12148,postgres / 153718784%
0.125,0.042,99.791,0.042,0,postgres / 0%,0,53248,18217,15161,postgres / 153718784%
0.167,0.042,99.792,0,0,postgres / 0%,0,32768,13869,15146,postgres / 153718784%
0.125,0.042,99.708,0.125,0,node / 0%,0,81920,12097,11571,postgres / 153718784%
0.167,0.083,99.750,0,0,node / 0%,0,32768,11663,11464,postgres / 153718784%
0.125,0.042,99.833,0,0,kworker/u97:0 / 0%,0,20480,1169,1930,postgres / 153718784%
0.083,0.042,99.875,0,0,dockerd / 0%,0,12288,306,882,postgres / 153718784%
0.083,0.042,99.875,0,0,kworker/u97:0 / 0%,0,0,414,532,postgres / 153718784%
0.125,0.042,99.833,0,0,ksoftirqd/3 / 0%,0,0,70,354,postgres / 153718784%
